groups,yf_ticker,name,min_wgt,neut_wgt,max_wgt
Consumer Discretionary,NKE,NIKE Inc. Class B,0,0.533499,1.066998
Consumer Staples,WMT,Walmart Inc.,0,0.530974,1.061948
Consumer Staples,COST,Costco Wholesale Corporation,0,0.529189,1.058378
Health Care,MRK,Merck & Co. Inc.,0,0.526713,1.053426
Health Care,ABBV,AbbVie Inc.,0,0.511247,1.022494
Health Care,DHR,Danaher Corporation,0,0.507056,1.014112
Health Care,LLY,Eli Lilly and Company,0,0.499195,0.99839
Financials,WFC,Wells Fargo & Company,0,0.494248,0.988496
Communication Services,T,AT&T Inc.,0,0.485919,0.971838
Consumer Discretionary,MCD,McDonald's Corporation,0,0.485129,0.970258
Information Technology,TXN,Texas Instruments Incorporated,0,0.472059,0.944118
Health Care,MDT,Medtronic Plc,0,0.445525,0.89105
Utilities,NEE,NextEra Energy Inc.,0,0.424498,0.848996
Materials,LIN,Linde plc,0,0.423567,0.847134
Information Technology,ORCL,Oracle Corporation,0,0.416926,0.833852
Consumer Staples,PM,Philip Morris International Inc.,0,0.409244,0.818488
Consumer Discretionary,LOW,Lowe's Companies Inc.,0,0.40644,0.81288
Industrials,HON,Honeywell International Inc.,0,0.400887,0.801774
Information Technology,INTU,Intuit Inc.,0,0.394737,0.789474
Financials,MS,Morgan Stanley,0,0.391653,0.783306
Information Technology,QCOM,Qualcomm Inc,0,0.385515,0.77103
Industrials,UNP,Union Pacific Corporation,0,0.383423,0.766846
Financials,C,Citigroup Inc.,0,0.381179,0.762358
Industrials,UPS,United Parcel Service Inc. Class B,0,0.370317,0.740634
Information Technology,AMD,Advanced Micro Devices Inc.,0,0.360842,0.721684
Industrials,RTX,Raytheon Technologies Corporation,0,0.35717,0.71434
Consumer Discretionary,SBUX,Starbucks Corporation,0,0.350393,0.700786
Financials,GS,Goldman Sachs Group Inc.,0,0.350302,0.700604
Information Technology,NOW,ServiceNow Inc.,0,0.343656,0.687312
Information Technology,IBM,International Business Machines Corporation,0,0.341408,0.682816
Health Care,BMY,Bristol-Myers Squibb Company,0,0.340586,0.681172
Financials,BLK,BlackRock Inc.,0,0.338652,0.677304
Real Estate,AMT,American Tower Corporation,0,0.323864,0.647728
Information Technology,AMAT,Applied Materials Inc.,0,0.320644,0.641288
Industrials,BA,Boeing Company,0,0.318238,0.636476
Consumer Discretionary,TGT,Target Corporation,0,0.318145,0.63629
Health Care,ISRG,Intuitive Surgical Inc.,0,0.313195,0.62639
Health Care,AMGN,Amgen Inc.,0,0.311917,0.623834
Financials,SCHW,Charles Schwab Corporation,0,0.311487,0.622974
Health Care,MRNA,Moderna Inc.,0,0.309592,0.619184
Industrials,GE,General Electric Company,0,0.299562,0.599124
Health Care,CVS,CVS Health Corporation,0,0.296404,0.592808
Financials,AXP,American Express Company,0,0.293166,0.586332
Financials,SPGI,SP Global Inc.,0,0.282799,0.565598
Industrials,CAT,Caterpillar Inc.,0,0.282616,0.565232
Industrials,MMM,3M Company,0,0.277161,0.554322
Consumer Discretionary,BKNG,Booking Holdings Inc.,0,0.27231,0.54462
Real Estate,PLD,Prologis Inc.,0,0.266537,0.533074
Energy,COP,ConocoPhillips,0,0.262692,0.525384
Health Care,ANTM,Anthem Inc.,0,0.253049,0.506098
Health Care,ZTS,Zoetis Inc. Class A,0,0.252291,0.504582
Industrials,DE,Deere & Company,0,0.248656,0.497312
Information Technology,ADI,Analog Devices Inc.,0,0.240329,0.480658
Consumer Staples,MO,Altria Group Inc,0,0.238411,0.476822
Industrials,LMT,Lockheed Martin Corporation,0,0.237181,0.474362
Communication Services,CHTR,Charter Communications Inc. Class A,0,0.237107,0.474214
Health Care,SYK,Stryker Corporation,0,0.235229,0.470458
Information Technology,ADP,Automatic Data Processing Inc.,0,0.234355,0.46871
Financials,PNC,PNC Financial Services Group Inc.,0,0.228602,0.457204
Health Care,GILD,Gilead Sciences Inc.,0,0.226979,0.453958
Consumer Staples,MDLZ,Mondelez International Inc. Class A,0,0.225124,0.450248
Consumer Discretionary,GM,General Motors Company,0,0.222471,0.444942
Financials,MMC,Marsh & McLennan Companies Inc.,0,0.216233,0.432466
Financials,USB,U.S. Bancorp,0,0.215324,0.430648
Financials,TFC,Truist Financial Corporation,0,0.215016,0.430032
Information Technology,LRCX,Lam Research Corporation,0,0.214967,0.429934
Financials,CB,Chubb Limited,0,0.21439,0.42878
Utilities,DUK,Duke Energy Corporation,0,0.207735,0.41547
Consumer Discretionary,TJX,TJX Companies Inc,0,0.205561,0.411122
Information Technology,MU,Micron Technology Inc.,0,0.20275,0.4055
Industrials,CSX,CSX Corporation,0,0.200203,0.400406
Information Technology,FIS,Fidelity National Information Services Inc.,0,0.199652,0.399304
Financials,CME,CME Group Inc. Class A,0,0.197523,0.395046
Consumer Staples,EL,Estee Lauder Companies Inc. Class A,0,0.196839,0.393678
Financials,COF,Capital One Financial Corporation,0,0.196727,0.393454
Real Estate,CCI,Crown Castle International Corp,0,0.19664,0.39328
Financials,ICE,Intercontinental Exchange Inc.,0,0.1926,0.3852
Materials,SHW,Sherwin-Williams Company,0,0.187333,0.374666
Communication Services,TMUS,T-Mobile US Inc.,0,0.185819,0.371638
Health Care,BDX,Becton Dickinson and Company,0,0.185131,0.370262
Financials,AON,Aon Plc Class A,0,0.184895,0.36979
Health Care,EW,Edwards Lifesciences Corporation,0,0.184735,0.36947
Real Estate,EQIX,Equinix Inc.,0,0.18348,0.36696
Health Care,CI,Cigna Corporation,0,0.183432,0.366864
Utilities,SO,Southern Company,0,0.177926,0.355852
Industrials,NSC,Norfolk Southern Corporation,0,0.177024,0.354048
Consumer Staples,CL,Colgate-Palmolive Company,0,0.171637,0.343274
Information Technology,FISV,Fiserv Inc.,0,0.170633,0.341266
Materials,APD,Air Products and Chemicals Inc.,0,0.169334,0.338668
Information Technology,ADSK,Autodesk Inc.,0,0.169001,0.338002
Industrials,ETN,Eaton Corp. Plc,0,0.168959,0.337918
Industrials,ITW,Illinois Tool Works Inc.,0,0.168593,0.337186
Health Care,BSX,Boston Scientific Corporation,0,0.163583,0.327166
Industrials,WM,Waste Management Inc.,0,0.162564,0.325128
Consumer Discretionary,F,Ford Motor Company,0,0.16104,0.32208
Financials,MCO,Moody's Corporation,0,0.15956,0.31912
Health Care,ILMN,Illumina Inc.,0,0.159008,0.318016
Health Care,HCA,HCA Healthcare Inc,0,0.158798,0.317596
Utilities,D,Dominion Energy Inc,0,0.158171,0.316342
Communication Services,ATVI,Activision Blizzard Inc.,0,0.157232,0.314464
Industrials,NOC,Northrop Grumman Corporation,0,0.155895,0.31179
Health Care,REGN,Regeneron Pharmaceuticals Inc.,0,0.155122,0.310244
Industrials,EMR,Emerson Electric Co.,0,0.150461,0.300922
Industrials,FDX,FedEx Corporation,0,0.148737,0.297474
Health Care,HUM,Humana Inc.,0,0.148487,0.296974
Materials,ECL,Ecolab Inc.,0,0.145028,0.290056
Materials,FCX,Freeport-McMoRan Inc.,0,0.144844,0.289688
Health Care,DXCM,DexCom Inc.,0,0.142754,0.285508
Health Care,IDXX,IDEXX Laboratories Inc.,0,0.142309,0.284618
Energy,EOG,EOG Resources Inc.,0,0.140467,0.280934
Financials,PGR,Progressive Corporation,0,0.139909,0.279818
Consumer Discretionary,CMG,Chipotle Mexican Grill Inc.,0,0.13742,0.27484
Industrials,JCI,Johnson Controls International plc,0,0.134801,0.269602
Financials,MSCI,MSCI Inc. Class A,0,0.134185,0.26837
Communication Services,TWTR,Twitter Inc.,0,0.133898,0.267796
Information Technology,KLAC,KLA Corporation,0,0.13379,0.26758
Consumer Discretionary,DG,Dollar General Corporation,0,0.133517,0.267034
Information Technology,NXPI,NXP Semiconductors NV,0,0.13318,0.26636
Real Estate,PSA,Public Storage,0,0.131951,0.263902
Financials,AIG,American International Group Inc.,0,0.131237,0.262474
Utilities,EXC,Exelon Corporation,0,0.130212,0.260424
Industrials,ROP,Roper Technologies Inc.,0,0.129596,0.259192
Industrials,INFO,IHS Markit Ltd.,0,0.129563,0.259126
Information Technology,TEL,TE Connectivity Ltd.,0,0.127989,0.255978
Financials,MET,MetLife Inc.,0,0.126766,0.253532
Consumer Discretionary,EBAY,eBay Inc.,0,0.126437,0.252874
Industrials,LHX,L3Harris Technologies Inc,0,0.126331,0.252662
Industrials,GD,General Dynamics Corporation,0,0.125773,0.251546
Health Care,IQV,IQVIA Holdings Inc,0,0.125615,0.25123
